# Commission rate table -- EDIT THIS FILE to match Kohler's real rep comp plan.
#
# Neither of the two YTD exports carries commission or dollar revenue: they
# report Case Equivalents only. So commission on this dashboard is MODELED as
#     commission = case equivalents x rate_per_case
# using the rates below. Until the real plan is entered here, every commission
# figure is a proportional stand-in -- the rankings, shares, concentration and
# YoY moves are all exactly right, only the dollar scale is a placeholder.
#
# scope   = DEFAULT | SUPPLIER | BRAND
# key     = blank for DEFAULT; the exact "Supplier" or "Brand Family" string otherwise
# Most specific match wins: BRAND overrides SUPPLIER overrides DEFAULT.
scope,key,rate_per_case
DEFAULT,,1.00
SUPPLIER,"Constellation Brands",1.00
SUPPLIER,"MolsonCoors Beverage Company",1.00
SUPPLIER,"Heineken USA",1.00
SUPPLIER,"Boston Beer Company",1.00
SUPPLIER,"Mark Anthony",1.00
SUPPLIER,"Pabst Brewing Company",1.00
SUPPLIER,"DG Yuengling Inc",1.00
SUPPLIER,"Sapporo",1.00
SUPPLIER,"New Belgium Brewing Company",1.00
SUPPLIER,"Sierra Nevada Brewing Company",1.00
SUPPLIER,"Radeberger USA",1.00
SUPPLIER,"Total Beverage Solutions",1.00
SUPPLIER,"Cape May",1.00
SUPPLIER,"Montauk Brewing Co",1.00
SUPPLIER,"Famosa",1.00
SUPPLIER,"FX Matt",1.00
SUPPLIER,"Athletic Brewing Company",1.00
SUPPLIER,"Garage Beer",1.00
SUPPLIER,"Lagunitas Brewing Co",1.00
SUPPLIER,"Victory Brewing Company",1.00
SUPPLIER,"Sixpoint Brewing",1.00
SUPPLIER,"Phusion Projects",1.00
SUPPLIER,"US Beverage",1.00
SUPPLIER,"Stone Brewing",1.00
SUPPLIER,"FIFCO",1.00
SUPPLIER,"Paulaner",1.00
SUPPLIER,"Hofbrauhaus USA",1.00
SUPPLIER,"Warwick Valley",1.00
SUPPLIER,"Narragansett",1.00
SUPPLIER,"Saratoga",1.00
SUPPLIER,"Pride & Clarke",1.00
SUPPLIER,"Beak & Skiff",1.00
SUPPLIER,"Artisanal Imports",1.00
SUPPLIER,"Food & Bev Enterprise LLC",1.00
SUPPLIER,"Red Bull",1.00
SUPPLIER,"Bell's",1.00
SUPPLIER,"Vinaio Imports LTD",1.00
SUPPLIER,"Delta Beverage LLC",1.00
SUPPLIER,"SN Food & Beverage LLC",1.00
SUPPLIER,"Southern Tier Brewing Company",1.00
SUPPLIER,"Global Beer",1.00
SUPPLIER,"Evil Genius",1.00
SUPPLIER,"Noca Beverages",1.00
